split_id,seq1_time,c0_c1_copy_time,seq2_time,seq_fc_time,mb_device_0_start_time,mb_device_0_end_time,c0_c1_cp_start_time,c0_c1_cp_end_time,mb_device_1_start_time,mb_device_1_end_time,mb_fc_start_time,mb_fc_end_time,mb_device_0_start_datetime,mb_device_0_end_datetime,c0_c1_cp_start_datetime,c0_c1_cp_end_datetime,mb_device_1_start_datetime,mb_device_1_end_datetime,mb_fc_start_datetime,mb_fc_end_datetime
0,0.009661197662353516,8.20159912109375e-05,0.010978937149047852,0.0002560615539550781,1581696764.5923645,1581696764.6020257,1581696764.6020303,1581696764.6021123,1581696764.6021175,1581696764.6130965,1581696764.6131005,1581696764.6133566,2020-02-14 11:12:44.592365,2020-02-14 11:12:44.602027,2020-02-14 11:12:44.602030,2020-02-14 11:12:44.602113,2020-02-14 11:12:44.602117,2020-02-14 11:12:44.613098,2020-02-14 11:12:44.613100,2020-02-14 11:12:44.613357
1,0.009030818939208984,7.62939453125e-05,0.010497093200683594,0.00013589859008789062,1581696764.6134338,1581696764.6224647,1581696764.622469,1581696764.6225452,1581696764.6225486,1581696764.6330457,1581696764.63305,1581696764.6331859,2020-02-14 11:12:44.613434,2020-02-14 11:12:44.622466,2020-02-14 11:12:44.622469,2020-02-14 11:12:44.622546,2020-02-14 11:12:44.622548,2020-02-14 11:12:44.633047,2020-02-14 11:12:44.633050,2020-02-14 11:12:44.633187
2,0.008972406387329102,7.319450378417969e-05,0.010444879531860352,0.00013399124145507812,1581696764.6332467,1581696764.642219,1581696764.6422234,1581696764.6422966,1581696764.6423001,1581696764.652745,1581696764.652749,1581696764.652883,2020-02-14 11:12:44.633247,2020-02-14 11:12:44.642220,2020-02-14 11:12:44.642223,2020-02-14 11:12:44.642297,2020-02-14 11:12:44.642300,2020-02-14 11:12:44.652746,2020-02-14 11:12:44.652749,2020-02-14 11:12:44.652884
3,0.009043216705322266,7.510185241699219e-05,0.010344982147216797,0.00012969970703125,1581696764.6529336,1581696764.6619768,1581696764.6619809,1581696764.662056,1581696764.6620593,1581696764.6724043,1581696764.6724083,1581696764.672538,2020-02-14 11:12:44.652934,2020-02-14 11:12:44.661978,2020-02-14 11:12:44.661981,2020-02-14 11:12:44.662056,2020-02-14 11:12:44.662059,2020-02-14 11:12:44.672405,2020-02-14 11:12:44.672408,2020-02-14 11:12:44.672539
4,0.0089111328125,7.343292236328125e-05,0.010471105575561523,0.00013375282287597656,1581696764.6725953,1581696764.6815064,1581696764.6815107,1581696764.6815841,1581696764.6815875,1581696764.6920586,1581696764.6920624,1581696764.6921961,2020-02-14 11:12:44.672595,2020-02-14 11:12:44.681508,2020-02-14 11:12:44.681510,2020-02-14 11:12:44.681585,2020-02-14 11:12:44.681587,2020-02-14 11:12:44.692060,2020-02-14 11:12:44.692062,2020-02-14 11:12:44.692197
5,0.00894021987915039,7.271766662597656e-05,0.010427713394165039,0.0001418590545654297,1581696764.6922467,1581696764.701187,1581696764.7011912,1581696764.701264,1581696764.7012672,1581696764.711695,1581696764.711699,1581696764.7118409,2020-02-14 11:12:44.692247,2020-02-14 11:12:44.701188,2020-02-14 11:12:44.701191,2020-02-14 11:12:44.701264,2020-02-14 11:12:44.701267,2020-02-14 11:12:44.711696,2020-02-14 11:12:44.711699,2020-02-14 11:12:44.711842
6,0.008940935134887695,7.295608520507812e-05,0.01040339469909668,0.0001323223114013672,1581696764.7118924,1581696764.7208333,1581696764.7208374,1581696764.7209103,1581696764.720914,1581696764.7313173,1581696764.7313213,1581696764.7314537,2020-02-14 11:12:44.711893,2020-02-14 11:12:44.720834,2020-02-14 11:12:44.720837,2020-02-14 11:12:44.720911,2020-02-14 11:12:44.720914,2020-02-14 11:12:44.731318,2020-02-14 11:12:44.731321,2020-02-14 11:12:44.731454
7,0.008951902389526367,7.367134094238281e-05,0.010429620742797852,0.00013256072998046875,1581696764.7315056,1581696764.7404575,1581696764.7404618,1581696764.7405355,1581696764.740539,1581696764.7509687,1581696764.750973,1581696764.7511055,2020-02-14 11:12:44.731506,2020-02-14 11:12:44.740459,2020-02-14 11:12:44.740462,2020-02-14 11:12:44.740536,2020-02-14 11:12:44.740539,2020-02-14 11:12:44.750970,2020-02-14 11:12:44.750973,2020-02-14 11:12:44.751106
8,0.008926630020141602,7.200241088867188e-05,0.010394811630249023,0.0001316070556640625,1581696764.7511575,1581696764.7600842,1581696764.7600882,1581696764.7601602,1581696764.7601635,1581696764.7705584,1581696764.7705626,1581696764.7706943,2020-02-14 11:12:44.751157,2020-02-14 11:12:44.760085,2020-02-14 11:12:44.760088,2020-02-14 11:12:44.760161,2020-02-14 11:12:44.760163,2020-02-14 11:12:44.770560,2020-02-14 11:12:44.770562,2020-02-14 11:12:44.770695
9,0.008935689926147461,7.772445678710938e-05,0.010416984558105469,0.0001323223114013672,1581696764.7709112,1581696764.779847,1581696764.779851,1581696764.7799287,1581696764.7799323,1581696764.7903492,1581696764.7903533,1581696764.7904856,2020-02-14 11:12:44.770912,2020-02-14 11:12:44.779848,2020-02-14 11:12:44.779851,2020-02-14 11:12:44.779929,2020-02-14 11:12:44.779932,2020-02-14 11:12:44.790350,2020-02-14 11:12:44.790353,2020-02-14 11:12:44.790486
10,0.008890151977539062,7.224082946777344e-05,0.010418891906738281,0.0001316070556640625,1581696764.7905412,1581696764.7994313,1581696764.7994356,1581696764.7995079,1581696764.7995117,1581696764.8099306,1581696764.8099346,1581696764.8100662,2020-02-14 11:12:44.790541,2020-02-14 11:12:44.799432,2020-02-14 11:12:44.799435,2020-02-14 11:12:44.799509,2020-02-14 11:12:44.799511,2020-02-14 11:12:44.809932,2020-02-14 11:12:44.809934,2020-02-14 11:12:44.810067
12,0.016784191131591797,6.961822509765625e-05,0.010439395904541016,0.00013065338134765625,1581696764.8101182,1581696764.8269024,1581696764.8269067,1581696764.8269763,1581696764.8269827,1581696764.8374221,1581696764.8374236,1581696764.8375542,2020-02-14 11:12:44.810118,2020-02-14 11:12:44.826903,2020-02-14 11:12:44.826906,2020-02-14 11:12:44.826977,2020-02-14 11:12:44.837419,2020-02-14 11:12:44.837422,2020-02-14 11:12:44.837423,2020-02-14 11:12:44.837555